ID_Pelanggan,Isi_Pesan,Label_Masalah
P-433,"kak internet mati dari pagi, kyknya blm bayar tagihan bulanan, tlong dicekin",Belum Bayar Tagihan
P-676,"Punten min, cara ganti password wifi indihome gimana? euy.",Ganti Password
P-377,kak kenapa wifi saya lemot trs skrg mati? apa krn belum bayar tagihan?,Belum Bayar Tagihan
P-651,A tolong ganti password wifi saya jadi '12345678'.,Ganti Password
P-212,Punten a router restart terus dari tadi pagi,Router Error
P-380,"min tulung cek internet mati, sigana can bayar tagihan, kumaha cara bayarna?",Belum Bayar Tagihan
P-155,"A minta tolong gantiin password wifi dong, ada yg numpang kayaknya tolong dicek ya a",Ganti Password
P-945," punten min, wifi di rumah mati total lampu modem merah nih.",Internet Mati (LOS)
P-263,"Mohon maaf min, wifi teu tiasa dianggo sama sakali ti isuk kénéh, geuning, tolong dibantu ya",Internet Mati (LOS)
P-610,"Min ada kabel pusat putus ya? Sinyal ilang semua. a,",Gangguan Pusat
P-615,"A naha internet down kieu? Info gangguan pusat a. a,",Gangguan Pusat
P-671," nuhun. punten min, cara ubah password wifi dari hp gimana?",Ganti Password
P-274,A lampu LOS kedap kedip merah wae ieu kumaha?,Internet Mati (LOS)
P-387,"min wifi terisolir ya? tlong cek no pelanggan sy, kyknya blm bayar tagihan",Belum Bayar Tagihan
P-626,"Kumaha carana nya, internet di rumah abdi mati total ti tadi enjing, euy, ditunggu kabarnya",Internet Mati (LOS)
P-432,"min internet putus total, kyknya nunggak bayar tagihan deh, tlong dibantu",Belum Bayar Tagihan
P-774,"Min kenapa ya wifi saya lemot banget dari semalem? mohon bantuannya,",Wifi Lemot
P-646,"Punten, hatur nuhun upami dibantos ganti sandi wifi ayeuna, euy, mohon bantuannya",Ganti Password
P-321,"Min, jaringan hilang total, tos ti tadi isuk teu acan uih deui, pisan, hatur nuhun",Internet Mati (LOS)
P-552,"Min ada gangguan pusat ya? Temen saya juga mati wifinya. tolong ya,",Gangguan Pusat
P-128,A naha ieu wifi mati total sekomplek? tolong dicek ya a,Gangguan Pusat
P-545," mohon bantuannya, min ini router merk ini emang sering error ya? tolong ganti.",Router Error
P-763," a, punten min, wifi di rumah ngelag banget buat streaming.",Wifi Lemot
P-260,A punten ini router lampu nya kedap kedip ga wajar tolong dicek ya a,Router Error
P-019,"Ini jaringan wifi kenapa terhubung tanpa internet yah?
Sudah di cabut di pasang lagi masih sama aja",Router Error
P-706,"Punten min, ganti password wifi rumah saya dong. min,",Ganti Password
P-392,"A internet mati euy, kyknya can bayar tagihan bulanan nya?",Belum Bayar Tagihan
P-034,Abdi yeu pake data,Router Error
P-488,"Min router saya error, ip address ga dapet terus. min,",Router Error
P-141,Min tolong cekin ini kenapa tulisan nya LOS merah terus ya tolong dicek ya a,Internet Mati (LOS)
P-051,Kumh sih wifi na elor wae da bayar MH tepat waktu,Gangguan Pusat
P-162,"Sim kuring bade tumaros, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, euy, mohon bantuannya",Internet Mati (LOS)
P-814," mohon bantuannya, min tolong cek kenapa wifi saya lemot banget hari ini a.",Wifi Lemot
P-342,A ini router di rumah merah terus lampu pon nya,Router Error
P-046,Asalamualaikum bang ko wf nya elor bang jaringan nya gk ada,Router Error
P-050,"Permisi min, jaringan hilang total, tos ti tadi isuk teu acan uih deui, yeuh, nuhun sateuacana",Internet Mati (LOS)
P-225,Min internet mati lampu merah di router nyala terus,Internet Mati (LOS)
P-221,Min kok hari ini jaringan lelet banget ya ga kaya biasa tolong dicek ya a,Wifi Lemot
P-126,"Mangga, sinyal wifi ical sadayana ti tadi sonten, geuning, ditunggu kabarnya",Internet Mati (LOS)
P-131,"Halo min, internet di rumah abdi mati total ti tadi enjing, euy, tolong dibantu ya",Internet Mati (LOS)
P-662," tlong. a mau ganti password wifi, tolong dibantu ya min.",Ganti Password
P-671,"Hapunten, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, euy, hapunten ganggu",Ganti Password
P-942,"Min kabel fiber optik putus euy, lampu LOS merah terus. tlong.",Gangguan Pusat
P-097,"Kak, jaringan hilang total, tos ti tadi isuk teu acan uih deui, yeuh, nuhun pisan",Internet Mati (LOS)
P-762," a, a naha wifi lemot kieu? tolong dibantu cek a.",Wifi Lemot
P-132,A koneksi lelet banget buat buka tiktok aja susah tolong dicek ya a,Wifi Lemot
P-056,Ohhh iyaa Ms,Gangguan Pusat
P-515," tolong ya, min cek modem rumah saya, kayaknya error sistem.",Router Error
P-425,"A tulung cek internet mati, sigana can bayar tagihan bulanan abdi teh",Belum Bayar Tagihan
P-463," mohon bantuannya, min cek jaringan, router di rumah error lampu merahnya kedip cepet.",Router Error
P-005,Kapan ada jaringan nya lagi a,Router Error
P-272,"Sim kuring bade tumaros, internet di rumah abdi mati total ti tadi enjing, geuning, tolong dicek ya",Internet Mati (LOS)
P-840," punten min, wifi di rumah ngelag banget buat main ml.",Wifi Lemot
P-109,Min mau ubah sandi wifi nih gmn caranya ya,Ganti Password
P-055,"Teu ngaruh PK,..
Masi Kenehh punten🙏,..",Internet Mati (LOS)
P-150,A wifi mati ieu lampu los kedip2 ti subuh tolong dicek ya a,Internet Mati (LOS)
P-146,"Wilujeng sonten, internet lemot teuing, main game jadi lag terus, geuning, hapunten ganggu",Wifi Lemot
P-251,"Hapunten, wifi lemot pisan ti tadi enjing, susah dianggo streaming, weh, tolong dibantu ya",Wifi Lemot
P-210,Punten a kabel internet di luar putus kayaknya lampu merah nyala,Gangguan Pusat
P-178,Min ini router kok tiba tiba mati sendiri ya padahal colokan nyala,Router Error
P-834," tlong. a tolong cek jaringan, wifi lemot pisan dari tadi pagi.",Wifi Lemot
P-015,Rrouternya yg mana,Wifi Lemot
P-836, min kenapa ya wifi saya lemot banget dari semalem?,Wifi Lemot
P-667,"Punten min, mau ganti sandi wifi biar lebih cepet internetnya. tlong.",Ganti Password
P-022,punten iye wifii kunaon nya,Internet Mati (LOS)
P-054,"Assalamualaikum pak
Lagi gangguan ya
Dari abis nyala lampu wifi kedip merah",Gangguan Pusat
P-398,"A tulung cek internet rumah mati, sigana mah can bayar tagihan bulanan",Belum Bayar Tagihan
P-297,Min tolong resetin password wifi ya saya lupa passwordnya tolong dicek ya a,Ganti Password
P-003,a Ning sinyal na jore,Gangguan Pusat
P-613," tlong. punten min, ini lagi ada perbaikan kabel pusat ya?",Gangguan Pusat
P-881," tolong ya, min lampu indikator los merah kedip kedip, internet mati total.",Internet Mati (LOS)
P-735," tolong ya, punten min, ganti password wifi rumah saya dong a.",Ganti Password
P-581," kak, min wifi mati total, denger denger lagi ada gangguan massal.",Gangguan Pusat
P-749,"Min internet di rumah lambat banget, tolong dicek ya. kak,",Wifi Lemot
P-524,"A router bermasalah, sinyal wifinya ga nyampe kamar. nuhun.",Router Error
P-700," min mau ganti password wifi saya, tolong proses ya.",Ganti Password
P-650,"Min tolong ganti password wifi saya dong, udah banyak yang tau. euy.",Ganti Password
P-047,"Nuhun sateuacana, wifi teu tiasa dianggo sama sakali ti isuk kénéh, tolong dibantu ya",Internet Mati (LOS)
P-120,"Wilujeng sonten, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, atuh, punten pisan",Internet Mati (LOS)
P-172,"A internet ga jalan lampu los nyala merah, ada teknisi yg bisa ngecek?",Internet Mati (LOS)
P-727," kak, punten min, mau ganti sandi wifi biar lebih cepet internetnya.",Ganti Password
P-045,"Halo min knp ya wifi kdng eror tiba² tidak ada internet lebih dri satu jam, padahal udh dibayar
Sama ada tulisan tidak ada internet",Internet Mati (LOS)
P-784,Min kenapa wifi saya lemot banget ya padahal baru bayar?,Wifi Lemot
P-594,"Mohon maaf min, lampu LOS di modem hurung beureum ti wengi tadi, atuh, tolong dibantu ya",Internet Mati (LOS)
P-420,"min internet putus total, kyknya nunggak bayar tagihan deh, bener gak min?",Belum Bayar Tagihan
P-180,Min router saya error euy ga mau konek ke hp tolong dicek ya a,Router Error
P-266,Min tolong cekin ini kenapa tulisan nya LOS merah terus ya,Internet Mati (LOS)
P-882,"A tolong kirim teknisi, lampu indikator merah (LOS) nyala. kak,",Internet Mati (LOS)
P-614," mohon bantuannya, punten min, info gangguan pusat dong, wifi mati nih.",Gangguan Pusat
P-252,A ampun ieu wifi lemot pisan buat yutuban oge muter,Wifi Lemot
P-926," min kabel kayaknya putus ketarik truk, lampu los merah.",Gangguan Pusat
P-873,"A tolong cek kabel di luar, kayaknya putus, lampu modem merah. kak,",Gangguan Pusat
P-654, euy. min cara ganti nama wifi gimana sih a? tolong a.,Ganti Password
P-167,Min speed internet kok turun banget ya tolong di refresh jaringannya,Wifi Lemot
P-391,"min mau nanya, internet mati itu krn gangguan apa krn blm bayar tagihan ya?",Belum Bayar Tagihan
P-420,"Punten, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, euy, punten pisan",Belum Bayar Tagihan
P-602," a, punten min, info gangguan pusat dong, wifi mati nih.",Gangguan Pusat
P-899,"Min kabel fiber di luar putus kena dahan pohon, lampu LOS merah. nuhun.",Gangguan Pusat
P-657," a, min mau ganti nama wifi biar ga ketauan orang lain.",Ganti Password
P-389,"Punten a wifi di rumah mati, kyknya gara2 nunggak tagihan bulan kamari",Belum Bayar Tagihan
P-020,Kadang2 hilang a,Wifi Lemot
P-064,Naon nama na mg .soal ieu make data,Ganti Password
P-047,Sampe kapan itu pa bener lagih nya,Gangguan Pusat
P-697," mohon bantuannya, a mau ganti nama wifi sama password bisa ga?",Ganti Password
P-285,"Wilujeng sonten, sadayana tatangga oge ngaluhkeun wifi na mati, sigana keur gangguan, atuh, makasih sebelumnya",Gangguan Pusat
P-021,"Sore, Sy mau ganti sandi wifi bisa",Ganti Password
P-396,"kak internet putus nih, apa diisolir gara gara telat bayar tagihan?",Belum Bayar Tagihan
P-057,Kenapa jaringan nya sekarang jadi lemot ?,Router Error
P-033,Tidak ada internet terus,Internet Mati (LOS)
P-606,"A server lagi down ya? Dari tadi pagi ga bisa konek. kak,",Gangguan Pusat
P-302,"Wilujeng enjing, modem euweuh sinyal, tulisan na LOS beureum wae ti tadi, atuh, hapunten ganggu",Internet Mati (LOS)
P-791,"Min internet di rumah lambat banget, tolong direset ya. min,",Wifi Lemot
P-053,"Siang Pak,proses upgrade nya belum selesai ya?",Gangguan Pusat
P-682,"Halo min, punten bade robih password wifi, tiasa dibantos teu, geuning, hatur nuhun",Ganti Password
P-051,"Wilujeng enjing, informasi ti grup warga, jaringan keur gangguan massal sapoe ieu, punten pisan",Gangguan Pusat
P-375,"internet putus min, apa diblokir gara gara nunggak tagihan?",Belum Bayar Tagihan
P-033,Kan kemarin udah bayar,Internet Mati (LOS)
P-067,"Ti weungi tulisan na ""tidak ada internet""  Teras ""koneksi terbatas""",Router Error
P-408,"A internet mati, kyknya can bayar tagihan bulan ieu, kumaha aktifkeunna?",Belum Bayar Tagihan
P-503," tlong. min router saya error, ip address ga dapet terus.",Router Error
P-011,"Pagi pak, mau minta info kalau ganti sandi wifi gmna ya",Ganti Password
P-187,"Mangga, lampu LOS di modem hurung beureum ti wengi tadi, pisan, nuhun sateuacana",Internet Mati (LOS)
P-089,A cek dong wifi saya lemot banget padahal baru bayar tagihan tolong dicek ya a,Wifi Lemot
P-354,maaf telat bayar wifi jd mati ya? cara aktifin lg gmn?,Belum Bayar Tagihan
P-064,Mang mf kirim kata sandi abdi poho🙏🏻,Ganti Password
P-767,"Min internet di rumah lambat banget, mohon bantuannya. min,",Wifi Lemot
P-376,"A internet di rumah mati total, nembe emut can bayar bulan ayeuna hapunten",Belum Bayar Tagihan
P-005,"Iya ditunggu
Wifi engga bakalan ada jaringan lagi bukan",Router Error
P-421,"kak internet mati dari tadi siang, kyknya blm bayar tagihan bulanan, tlong cek",Belum Bayar Tagihan
P-736," tlong. punten min, minta tolong ubah nama wifi saya.",Ganti Password
P-933," nuhun. punten min, wifi mati total lampu pon merah kedip-kedip.",Internet Mati (LOS)
P-345,"Kak, internet ngadadak pareum, lampu router beureum kabeh, weh, mohon bantuannya",Internet Mati (LOS)
P-117,"Halo min, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, yeuh, mohon bantuannya",Internet Mati (LOS)
P-603,"Punten min, wifi mati sekomplek, kayaknya gangguan pusat. tolong ya,",Gangguan Pusat
P-281,"Assalamualaikum a, punten ini internet mati dari pusat kah?",Gangguan Pusat
P-070,"Udah bisa a,,hatur nuhun",Ganti Password
P-397,"min wifi gak bsa konek, kyknya belom bayar tagihan bulan ini deh, bener gak?",Belum Bayar Tagihan
P-859,"Punten min, wifi mati total lampu pon merah kedip kedip nih.",Internet Mati (LOS)
P-865," euy. min lampu los merah terus dari tadi sore, tolong cek.",Internet Mati (LOS)
P-435,kak kenapa internet mati tiba2? apa krn belom bayar tagihan bulanan kak?,Belum Bayar Tagihan
P-220,"A tolong ganti password wifi rumah saya dong, ini banyak yg konek tolong dicek ya a",Ganti Password
P-146,"Kak, wifi kacida na lemot na, streaming putus-putus wae, pisan, tolong dibantu ya",Wifi Lemot
P-567," min, min cek jaringan pusat, kok mati semua pelanggan di sini.",Gangguan Pusat
P-868," tlong. min lampu los merah terus dari tadi sore, tolong cek.",Internet Mati (LOS)
P-665,"Mangga, bade ganti password wifi kusabab loba anu konek teu wios, weh, nuhun pisan",Ganti Password
P-002,"Asalamualaikum a,maaf ko WiFi yg Nurlaila ga muncul2 ya WiFi nya,yg lain pada muncul",Router Error
P-509,"A wifi bermasalah, pas dicek router indikator los padahal kabel oke. a,",Router Error
P-886,"A tolong kirim teknisi segera, internet mati lampu merah nyala. nuhun.",Internet Mati (LOS)
P-847,"A tolong cek kabel di luar, kayaknya putus, lampu modem merah.",Gangguan Pusat
P-680,"Punten min, ganti password wifi rumah saya dong. nuhun.",Ganti Password
P-491,"Punten min, router error terus pas hujan gede. tolong ya,",Router Error
P-056,Jaringan  yang di ci karae knp butut,Gangguan Pusat
P-401,"halo kak wifi terisolir ya? blm bayar tagihan soalnya kmrn, tlong dibantu",Belum Bayar Tagihan
P-053,"Malam Pak,sekarang wifi nya jadi lemot ya setelah di upgrade 🙏",Gangguan Pusat
P-066,Ohh muhun pak,Router Error
P-888," min, min kabel fiber optik putus euy, lampu los merah terus.",Gangguan Pusat
P-082,"Kak, server pusat sigana nuju perbaikan, wifi sadayana pareum, punten pisan",Gangguan Pusat
P-415,"Kak, punten upami tos dibayar ayeuna, iraha deui hurungna, euy, hatur nuhun",Belum Bayar Tagihan
P-240,Punten a wifi nya ngelag parah dipake main ML ga bisa tolong dicek ya a,Wifi Lemot
P-148,"Kak, wifi na lemot pisan dianggo kerja ti bumi, yeuh, nuhun pisan",Wifi Lemot
P-568," a, a naha internet down pisan hari ini? ada gangguan pusat ya?",Gangguan Pusat
P-326,Assalamualaikum a bisa bantu ganti nama wifi sama passwordnya sekalian?,Ganti Password
P-444,"min internet putus total, kyknya nunggak bayar tagihan deh, mohon bantuannya min",Belum Bayar Tagihan
P-063,TOS di cabut,Router Error
P-797,"Min tolong cek kenapa wifi saya lemot banget belakangan ini. mohon bantuannya,",Wifi Lemot
P-421,"Permisi min, wifi mati, sigana kusabab tagihan bulan kamari acan dibayar, ditunggu kabarnya",Belum Bayar Tagihan
P-422,min wifi terisolir ya gara2 telat bayar tagihan? cara bayarnya gmn min?,Belum Bayar Tagihan
P-278,A ampun ieu wifi lemot pisan buat yutuban oge muter tolong dicek ya a,Wifi Lemot
P-921," tlong. punten min, wifi di rumah mati total lampu modem merah a.",Internet Mati (LOS)
P-819," kak, punten min, wifi lemot pisan buat nonton netflix buffering terus.",Wifi Lemot
P-062,Assalamualaikum pak wifi teh gening tau Aya sinyalan gangguan apa kumaha pak,Gangguan Pusat
P-015,"Ok, Saya cba dlu",Wifi Lemot
P-592,A naha internet down pisan hari ini? Ada gangguan pusat ya? tlong.,Gangguan Pusat
P-834,"Wilujeng enjing, kacepetan wifi turun drastis ti kamari sonten, geuning, nuhun pisan",Wifi Lemot
P-185,"Permisi min, router sok mati sorangan ti tadi enjing, teu apal kunaon, atuh, tolong secepatnya ya",Router Error
P-607," min, min info perbaikan pusat dong, wifi mati dari tadi.",Gangguan Pusat
P-175,"Permisi min, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, yeuh, tolong dibantu ya",Internet Mati (LOS)
P-668,"A tolong ganti password wifi saya biar lebih aman. kak,",Ganti Password
P-027,Pak maaf wifi kenapa sering lemot,Wifi Lemot
P-864,"Min kabel fiber optik putus, lampu LOS merah terus. mohon bantuannya,",Gangguan Pusat
P-483,"A router saya error, ganti baru aja bisa ga? a,",Router Error
P-305,"Hapunten, sinyal wifi ical sadayana ti tadi sonten, tolong secepatnya ya",Internet Mati (LOS)
P-768,"A internet lemot pisan, tolong dioptimasi ya a. mohon bantuannya,",Wifi Lemot
P-197,"Sim kuring bade tumaros, internet ngadadak pareum, lampu router beureum kabeh, weh, nuhun pisan",Internet Mati (LOS)
P-739," kak, punten min, ganti password wifi rumah saya dong.",Ganti Password
P-027,Apa sedang gangguan  soalna ampir tiap hari lemot,Wifi Lemot
P-436,"min wifi mati total, kyknya blm bayar bulanan deh, tlong di cek no id nya kak",Belum Bayar Tagihan
P-039,Kenapa sekarang mh gangguan terus,Gangguan Pusat
P-272,"Nuhun sateuacana, wifi teu tiasa dianggo sama sakali ti isuk kénéh, teuing, tolong dicek ya",Internet Mati (LOS)
P-064,"Sim kuring bade tumaros, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, atuh, ditunggu kabarnya",Ganti Password
P-256,"Mangga, internet di rumah abdi mati total ti tadi enjing, yeuh, hatur nuhun",Internet Mati (LOS)
P-430,A naha wifi mati ya? keknya can bayar tagihan bulan ayeuna aduh hilap,Belum Bayar Tagihan
P-339,"Wilujeng enjing, sadayana tatangga oge ngaluhkeun wifi na mati, sigana keur gangguan, euy, punten pisan",Gangguan Pusat
P-695,"Min tolong ganti password wifi saya dong, udah banyak yang tau. tolong ya,",Ganti Password
P-827," min internet di rumah lambat banget, tolong dicek ya.",Wifi Lemot
P-497," nuhun. punten a, router di rumah error terus minta di reset kayaknya.",Router Error
P-054,Ini aja boleh ngehospot ke tetangga,Router Error
P-164,"Permisi min, kabel fiber katarik treuk cenah, éta anu ngabalukarkeun jaringan mati sadayana, yeuh, nuhun sateuacana",Gangguan Pusat
P-640," min cek jaringan pusat, kok mati semua pelanggan di sini.",Gangguan Pusat
P-055,"Pk kmha kabel teh janten teu digentos?..
Soalna Wifina Awon  deii,....",Internet Mati (LOS)
P-160,"Wilujeng enjing, server pusat sigana nuju perbaikan, wifi sadayana pareum, weh, hatur nuhun",Gangguan Pusat
P-735,"Punten, bade ganti password wifi kusabab loba anu konek teu wios, euy, tolong dicek ya",Ganti Password
P-381,"kak internet tiba2 putus, pas dicek keknya blm bayar bulan ini deh, bener ga?",Belum Bayar Tagihan
P-293,"Punten a, bisa pang gantiin pass wifi teu? password baru nya rahasia123 tolong dicek ya a",Ganti Password
P-617,"Min info perbaikan pusat dong, wifi mati dari tadi. mohon bantuannya,",Gangguan Pusat
P-533,"Min tolong ganti router, kayaknya udah jadul jadi sering error. tolong ya,",Router Error
P-710,"Punten min, ganti password wifi rumah saya dong.",Ganti Password
P-021,"Iya sy mau ganti, Nama wifi nya shiren werand",Ganti Password
P-208,"Selamat pagi min, punten bade robih password wifi, tiasa dibantos teu, geuning, nuhun pisan",Ganti Password
P-441,"min internet terisolir ya? maaf blm bayar tagihan bulanan kmrn, mohon bantuannya",Belum Bayar Tagihan
P-023,a punten iye hoyong nga gentos sandi wifi kmha?,Ganti Password
P-737,"A tolong ganti nama wifi saya jadi 'Rumah-Kami'. min,",Ganti Password
P-444,"Wilujeng sonten, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, atuh, tolong secepatnya ya",Belum Bayar Tagihan
P-258,"Punten, wifi teu kaluar sinyal na, router sigana rusak, teuing, nuhun pisan",Router Error
P-298,"A tolong ganti password wifi rumah saya dong, ini banyak yg konek",Ganti Password
P-748," min, min tolong cek kenapa wifi saya lemot banget sekarang.",Wifi Lemot
P-857,"Nuhun sateuacana, kacida na gangguan na, jaringan mati ti tadi enjing sakomplek, tolong secepatnya ya",Gangguan Pusat
P-013,Anu di bolang,Router Error
P-010,Iya itu juga sudah pak sering kaya begitu sekarang udah bagus,Router Error
P-442,A naha wifi mati ya? kyknya can bayar tagihan bulan ayeuna aduh hilap pisan,Belum Bayar Tagihan
P-738,"Punten min, gantiin password wifi dong jadi 'sukses2024'. min,",Ganti Password
P-744, nuhun. a mau ganti nama wifi sama password bisa ga?,Ganti Password
P-303,Router nya panas banget a terus internetnya putus putus tolong dicek ya a,Router Error
P-075,"Hapunten, bade ganti password wifi kusabab loba anu konek teu wios, euy, hatur nuhun",Ganti Password
P-050,mikum ini teknisi wfi najura yah ini eror ga ada jaringan nya,Gangguan Pusat
P-437,"A tulung cek internet mati, sigana can bayar tagihan bulanan abdi teh nya?",Belum Bayar Tagihan
P-283,"Halo min, wifi teu kaluar sinyal na, router sigana rusak, punten pisan",Router Error
P-171,"Sim kuring bade tumaros, bade ganti password wifi kusabab loba anu konek teu wios, yeuh, hatur nuhun",Ganti Password
P-050,sampai Ken wae ku akang bosen Abi mh,Wifi Lemot
P-558,"Min wifi mati total, kata tetangga lagi gangguan pusat. tlong.",Gangguan Pusat
P-067,Sinar/lampu wifi kedip2 merah,Router Error
P-027,"Min, wifi na lemot pisan dianggo kerja ti bumi, geuning, nuhun sateuacana",Wifi Lemot
P-731," a, a mau ganti password wifi, tolong dibantu ya min.",Ganti Password
P-712,"Punten min, cara ganti password wifi indihome gimana?",Ganti Password
P-172,"Selamat pagi min, modem euweuh sinyal, tulisan na LOS beureum wae ti tadi, weh, nuhun sateuacana",Internet Mati (LOS)
P-118,"Kak, router abdi mati sorangan, teu acan hurung deui ti tadi, nuhun sateuacana",Router Error
P-070,"Assalamualaikum,A kenapa wifi lemot teu cara biasa na lancar,, Nolis Nurul Islam di cimapag 🙏",Wifi Lemot
P-441,"Halo min, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, teuing, hatur nuhun",Belum Bayar Tagihan
P-729, a tolong ganti nama wifi saya jadi 'keluarga-bahagia'.,Ganti Password
P-076,Min ini router kok tiba tiba mati sendiri ya padahal colokan nyala tolong dicek ya a,Router Error
P-915,"Punten min, internet mati lampu indikator merah (LOS) a. kak,",Internet Mati (LOS)
P-329,"Permisi min, punten bade robih password wifi, tiasa dibantos teu, geuning, nuhun sateuacana",Ganti Password
P-809,"Punten min, wifi di rumah ngelag banget buat streaming. nuhun.",Wifi Lemot
P-318,"Sim kuring bade tumaros, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, atuh, hapunten ganggu",Internet Mati (LOS)
P-164,"Kak, sadayana tatangga oge ngaluhkeun wifi na mati, sigana keur gangguan, yeuh, punten pisan",Gangguan Pusat
P-074,"Nuhun sateuacana, server pusat sigana nuju perbaikan, wifi sadayana pareum, atuh, nuhun sateuacana",Gangguan Pusat
P-443,"kak wifi saya mati, pas dicek tnyata belom bayar tagihan bulan kmrn, mohon dicek",Belum Bayar Tagihan
P-753," min, min tolong cek kenapa wifi saya lemot banget belakangan ini.",Wifi Lemot
P-357,"Internet rumah mati total min, kayaknya gara2 telat bayar bulanan ya? Cek dong",Belum Bayar Tagihan
P-426,"kak wifi di rumah mati, kyknya belom bayar tagihan mggu kmrn, tlong dibantu",Belum Bayar Tagihan
P-236,"Punten, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, pisan, nuhun sateuacana",Ganti Password
P-554," min, punten min, info gangguan massal hari ini ada ga?",Gangguan Pusat
P-353,"Mohon maaf min, wifi mati, sigana kusabab tagihan bulan kamari acan dibayar, hapunten ganggu",Belum Bayar Tagihan
P-220,"Mangga, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, weh, nuhun pisan",Ganti Password
P-400,"min internet mati total, kyknya belum bayar tagihan, kl bayar skrg aktif kpn?",Belum Bayar Tagihan
P-649,"A tolong ganti password wifi, udah lemot gara gara banyak yang tau.",Ganti Password
P-513," tolong ya, a naha router di imah teh error wae, capek restartna.",Router Error
P-033,Oh iyh gpp,Internet Mati (LOS)
P-255,"Wilujeng sonten, lampu router kedap-kedip teu wajar ti tadi wengi, yeuh, hapunten ganggu",Router Error
P-879," tolong ya, a tolong cek kabel kayaknya putus, lampu modem merah (los).",Gangguan Pusat
P-355,wifi terisolir ya kak? kemarin lupa bgt bayar bulanan,Belum Bayar Tagihan
P-306,"Wilujeng enjing, wifi teu tiasa dianggo sama sakali ti isuk kénéh, hatur nuhun",Internet Mati (LOS)
P-400,"Selamat pagi min, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, pisan, punten pisan",Belum Bayar Tagihan
P-149,A ini router di rumah merah terus lampu pon nya tolong dicek ya a,Router Error
P-722,"Punten min, gantiin sandi wifi dong a, nuhun. nuhun.",Ganti Password
P-869,"A tolong cek kabel di luar, kayaknya putus, lampu modem merah. tlong.",Gangguan Pusat
P-372,kak indihome eh wifi saya kok mati ya? apa karena telat bayar tagihan kemarin?,Belum Bayar Tagihan
P-087,"Hapunten, internet lemot teuing, main game jadi lag terus, pisan, punten pisan",Wifi Lemot
